source,target,type
1,0,Undirected
2,0,Undirected
2,1,Undirected
3,0,Undirected
3,2,Undirected
5,4,Undirected
6,5,Undirected
7,6,Undirected
9,1,Undirected
9,2,Undirected
9,3,Undirected
9,8,Undirected
10,3,Undirected
11,2,Undirected
11,10,Undirected
12,9,Undirected
12,10,Undirected
14,1,Undirected
14,2,Undirected
14,13,Undirected
15,7,Undirected
15,13,Undirected
16,13,Undirected
16,14,Undirected
17,1,Undirected
17,2,Undirected
17,5,Undirected
17,7,Undirected
17,9,Undirected
17,12,Undirected
17,13,Undirected
17,14,Undirected
17,15,Undirected
18,1,Undirected
18,3,Undirected
18,12,Undirected
18,13,Undirected
19,1,Undirected
20,19,Undirected
21,2,Undirected
21,7,Undirected
21,17,Undirected
21,18,Undirected
21,19,Undirected
22,2,Undirected
22,17,Undirected
22,19,Undirected
23,2,Undirected
23,19,Undirected
24,2,Undirected
24,9,Undirected
24,17,Undirected
24,19,Undirected
25,2,Undirected
25,9,Undirected
25,14,Undirected
25,17,Undirected
25,19,Undirected
26,2,Undirected
26,9,Undirected
26,17,Undirected
26,19,Undirected
27,2,Undirected
27,5,Undirected
27,17,Undirected
27,19,Undirected
28,1,Undirected
28,17,Undirected
28,21,Undirected
29,18,Undirected
29,28,Undirected
30,25,Undirected
30,28,Undirected
31,2,Undirected
31,17,Undirected
31,28,Undirected
32,5,Undirected
32,6,Undirected
32,15,Undirected
32,17,Undirected
32,28,Undirected
32,31,Undirected
33,28,Undirected
34,2,Undirected
34,17,Undirected
34,18,Undirected
34,28,Undirected
35,17,Undirected
35,28,Undirected
36,2,Undirected
36,14,Undirected
36,17,Undirected
36,24,Undirected
37,7,Undirected
37,14,Undirected
37,17,Undirected
38,7,Undirected
38,15,Undirected
38,17,Undirected
38,37,Undirected
39,5,Undirected
39,9,Undirected
39,38,Undirected
40,9,Undirected
40,11,Undirected
40,38,Undirected
41,1,Undirected
41,2,Undirected
41,3,Undirected
41,25,Undirected
41,31,Undirected
41,38,Undirected
42,2,Undirected
42,9,Undirected
42,41,Undirected
43,3,Undirected
43,5,Undirected
43,12,Undirected
43,15,Undirected
43,17,Undirected
43,18,Undirected
43,20,Undirected
43,21,Undirected
43,23,Undirected
43,24,Undirected
43,26,Undirected
43,27,Undirected
43,31,Undirected
43,36,Undirected
43,39,Undirected
43,41,Undirected
44,17,Undirected
44,18,Undirected
44,28,Undirected
44,43,Undirected
45,1,Undirected
45,2,Undirected
45,22,Undirected
45,44,Undirected
46,1,Undirected
46,25,Undirected
47,23,Undirected
47,24,Undirected
47,37,Undirected
48,15,Undirected
48,21,Undirected
48,25,Undirected
48,35,Undirected
48,43,Undirected
48,47,Undirected
49,24,Undirected
49,47,Undirected
50,2,Undirected
50,10,Undirected
50,12,Undirected
50,17,Undirected
50,18,Undirected
50,21,Undirected
50,44,Undirected
50,48,Undirected
51,1,Undirected
51,2,Undirected
51,3,Undirected
51,6,Undirected
51,7,Undirected
51,17,Undirected
51,18,Undirected
51,21,Undirected
51,23,Undirected
51,25,Undirected
51,26,Undirected
51,30,Undirected
51,31,Undirected
51,32,Undirected
51,34,Undirected
51,35,Undirected
51,38,Undirected
51,42,Undirected
51,49,Undirected
51,50,Undirected
52,6,Undirected
52,17,Undirected
52,27,Undirected
52,32,Undirected
52,45,Undirected
52,50,Undirected
53,18,Undirected
53,50,Undirected
54,2,Undirected
54,17,Undirected
54,18,Undirected
54,27,Undirected
54,34,Undirected
54,50,Undirected
54,51,Undirected
54,53,Undirected
55,6,Undirected
55,36,Undirected
56,26,Undirected
56,40,Undirected
56,42,Undirected
56,52,Undirected
57,37,Undirected
57,51,Undirected
58,29,Undirected
58,37,Undirected
59,9,Undirected
59,14,Undirected
59,23,Undirected
59,25,Undirected
59,37,Undirected
59,43,Undirected
59,49,Undirected
59,51,Undirected
60,9,Undirected
60,18,Undirected
61,9,Undirected
62,9,Undirected
63,11,Undirected
63,27,Undirected
63,43,Undirected
64,63,Undirected
65,17,Undirected
65,59,Undirected
65,63,Undirected
66,2,Undirected
66,17,Undirected
66,43,Undirected
66,51,Undirected
67,17,Undirected
67,51,Undirected
68,14,Undirected
68,16,Undirected
68,24,Undirected
68,26,Undirected
68,27,Undirected
68,49,Undirected
68,51,Undirected
68,54,Undirected
69,11,Undirected
69,23,Undirected
70,7,Undirected
70,17,Undirected
70,32,Undirected
70,43,Undirected
70,54,Undirected
70,55,Undirected
70,59,Undirected
70,68,Undirected
71,14,Undirected
71,35,Undirected
71,59,Undirected
71,60,Undirected
71,62,Undirected
72,17,Undirected
72,37,Undirected
72,54,Undirected
72,59,Undirected
72,66,Undirected
73,2,Undirected
73,45,Undirected
73,53,Undirected
73,68,Undirected
73,71,Undirected
74,29,Undirected
75,7,Undirected
75,15,Undirected
75,24,Undirected
75,54,Undirected
75,57,Undirected
75,66,Undirected
75,68,Undirected
75,70,Undirected
76,15,Undirected
76,24,Undirected
76,27,Undirected
76,33,Undirected
76,48,Undirected
76,60,Undirected
76,67,Undirected
76,73,Undirected
76,75,Undirected
77,17,Undirected
77,25,Undirected
77,75,Undirected
78,50,Undirected
78,54,Undirected
79,15,Undirected
79,20,Undirected
79,26,Undirected
79,27,Undirected
79,29,Undirected
79,30,Undirected
79,31,Undirected
79,42,Undirected
79,78,Undirected
80,17,Undirected
80,26,Undirected
80,27,Undirected
80,43,Undirected
80,72,Undirected
80,76,Undirected
81,43,Undirected
81,79,Undirected
81,80,Undirected
82,17,Undirected
83,2,Undirected
83,17,Undirected
83,43,Undirected
83,79,Undirected
84,17,Undirected
84,30,Undirected
84,33,Undirected
84,65,Undirected
84,68,Undirected
85,3,Undirected
85,17,Undirected
86,17,Undirected
86,31,Undirected
87,7,Undirected
87,12,Undirected
87,17,Undirected
87,24,Undirected
87,27,Undirected
87,36,Undirected
87,65,Undirected
87,67,Undirected
87,70,Undirected
87,83,Undirected
88,12,Undirected
88,15,Undirected
88,17,Undirected
88,25,Undirected
88,48,Undirected
89,4,Undirected
89,9,Undirected
89,17,Undirected
89,28,Undirected
89,53,Undirected
90,42,Undirected
91,1,Undirected
92,28,Undirected
92,30,Undirected
92,76,Undirected
92,89,Undirected
93,2,Undirected
93,17,Undirected
94,20,Undirected
94,22,Undirected
94,81,Undirected
95,92,Undirected
96,27,Undirected
96,92,Undirected
97,2,Undirected
98,2,Undirected
98,11,Undirected
98,17,Undirected
98,43,Undirected
98,81,Undirected
99,43,Undirected
99,89,Undirected
100,32,Undirected
100,43,Undirected
101,51,Undirected
101,60,Undirected
102,1,Undirected
102,2,Undirected
102,12,Undirected
102,13,Undirected
102,17,Undirected
102,44,Undirected
102,50,Undirected
102,53,Undirected
102,66,Undirected
102,70,Undirected
103,17,Undirected
103,24,Undirected
103,27,Undirected
103,31,Undirected
103,37,Undirected
103,39,Undirected
103,65,Undirected
103,73,Undirected
104,2,Undirected
104,11,Undirected
104,12,Undirected
104,15,Undirected
104,17,Undirected
104,24,Undirected
104,25,Undirected
104,26,Undirected
104,31,Undirected
104,33,Undirected
104,35,Undirected
104,38,Undirected
104,46,Undirected
104,48,Undirected
104,50,Undirected
104,59,Undirected
104,61,Undirected
104,81,Undirected
104,84,Undirected
104,103,Undirected
105,2,Undirected
105,14,Undirected
105,23,Undirected
105,70,Undirected
105,72,Undirected
105,104,Undirected
106,7,Undirected
106,51,Undirected
106,76,Undirected
106,80,Undirected
106,88,Undirected
106,96,Undirected
107,33,Undirected
107,34,Undirected
108,20,Undirected
108,24,Undirected
108,31,Undirected
108,105,Undirected
109,79,Undirected
110,79,Undirected
110,100,Undirected
111,2,Undirected
